City,Year,Level 1 Station Count,Level 2 Station Count,Level 3 Station Count,Total Level 1 Station Count,Total Level 2 Station Count,Total Level 3 Station Count,Level All Station Count,Total Level All Station Count
Sturbridge,2024,0,1,0,0,2,4,1,6
Sudbury,2023,1,2,0,1,2,0,3,3
Sudbury,2024,0,1,0,1,3,0,1,4
Sudbury,2025,0,4,0,1,7,0,4,8
Sutton,2021,0,2,0,0,2,0,2,2
Swampscott,2021,0,3,0,0,3,0,3,3
Swampscott,2024,0,6,0,0,9,0,6,9
Swansea,2020,0,2,0,0,2,0,2,2
Swansea,2022,0,1,0,0,3,0,1,3
Taunton,2022,0,1,0,0,1,0,1,1
Taunton,2023,0,4,0,0,5,0,4,5
Taunton,2024,0,0,1,0,5,1,1,6
Templeton,2020,0,1,0,0,1,0,1,1
Templeton,2022,0,0,1,0,1,1,1,2
Tewksbury,2016,0,1,0,0,1,0,1,1
Tewksbury,2018,0,1,0,0,2,0,1,2
Tewksbury,2020,0,1,0,0,3,0,1,3
Tewksbury,2021,0,3,0,0,6,0,3,6
Tewksbury,2022,0,3,1,0,9,1,4,10
Tewksbury,2023,0,1,1,0,10,2,2,12
Topsfield,2019,0,1,0,0,1,0,1,1
Topsfield,2021,0,2,0,0,3,0,2,3
Townsend,2024,0,2,2,0,2,2,4,4
Truro,2022,0,1,0,0,1,0,1,1
Turners Falls,2020,0,1,0,0,1,0,1,1
Turners Falls,2022,0,1,0,0,2,0,1,2
Tyngsborough,2021,0,4,0,0,4,0,4,4
Tyngsborough,2022,0,0,1,0,4,1,1,5
Uxbridge,2019,0,1,0,0,1,0,1,1
Uxbridge,2023,0,1,0,0,2,0,1,2
Uxbridge,2024,0,1,0,0,3,0,1,3
Vineyard Haven,2022,0,1,0,0,1,0,1,1
Wakefield,2019,0,2,0,0,2,0,2,2
Wakefield,2020,0,5,1,0,7,1,6,8
Wakefield,2021,0,4,0,0,11,1,4,12
Wakefield,2022,0,4,1,0,15,2,5,17
Wakefield,2023,0,1,1,0,16,3,2,19
Wakefield,2024,0,1,1,0,17,4,2,21
Wakefield,2025,0,1,0,0,18,4,1,22
Walpole,2018,0,1,0,0,1,0,1,1
Walpole,2021,0,2,0,0,3,0,2,3
Walpole,2022,0,1,0,0,4,0,1,4
Walpole,2024,0,4,0,0,8,0,4,8
Waltham,2013,0,1,0,0,1,0,1,1
Waltham,2018,0,3,0,0,4,0,3,4
Waltham,2019,0,3,0,0,7,0,3,7
Waltham,2020,0,7,0,0,14,0,7,14
Waltham,2021,0,28,0,0,42,0,28,42
Waltham,2022,0,21,0,0,63,0,21,63
Waltham,2023,0,4,0,0,67,0,4,67
Waltham,2024,0,4,0,0,71,0,4,71
Wareham,2020,0,0,1,0,0,1,1,1
Wareham,2022,0,2,0,0,2,1,2,3
Wareham,2023,0,0,1,0,2,2,1,4
Wareham,2024,0,1,1,0,3,3,2,6
Wareham,2025,0,1,0,0,4,3,1,7
Watertown,2015,0,1,0,0,1,0,1,1
Watertown,2016,0,1,0,0,2,0,1,2
Watertown,2018,0,1,0,0,3,0,1,3
Watertown,2019,0,1,0,0,4,0,1,4
Watertown,2020,0,2,0,0,6,0,2,6
Watertown,2021,0,8,0,0,14,0,8,14
Watertown,2022,0,1,0,0,15,0,1,15
Watertown,2023,0,8,0,0,23,0,8,23
Watertown,2024,0,12,0,0,35,0,12,35
Wayland,2020,0,1,0,0,1,0,1,1
Wayland,2021,0,1,0,0,2,0,1,2
Webster,2024,0,1,0,0,1,0,1,1
Wellesley,2021,0,1,0,0,1,0,1,1
Wellesley,2022,0,1,0,0,2,0,1,2
Wellesley,2023,0,6,0,0,8,0,6,8
Wellesley,2024,0,12,1,0,20,1,13,21
Wellfleet,2019,0,2,0,0,2,0,2,2
Wenham,2022,0,2,0,0,2,0,2,2
West Barnstable,2023,0,2,0,0,2,0,2,2
West Berlin,2023,0,1,1,0,1,1,2,2
West Boylston,2023,0,0,2,0,0,2,2,2
West Newbury,2021,0,2,0,0,2,0,2,2
West Newbury,2022,0,2,0,0,4,0,2,4
West Newbury,2024,0,3,0,0,7,0,3,7
West Springfield,2012,0,2,0,0,2,0,2,2
West Springfield,2018,0,0,1,0,2,1,1,3
West Springfield,2019,0,2,0,0,4,1,2,5
West Springfield,2020,0,1,0,0,5,1,1,6
West Springfield,2021,0,3,0,0,8,1,3,9
West Springfield,2023,0,2,0,0,10,1,2,11
West Springfield,2024,0,0,1,0,10,2,1,12
West Tisbury,2021,0,1,0,0,1,0,1,1
West Tisbury,2022,0,2,0,0,3,0,2,3
West Tisbury,2024,0,2,0,0,5,0,2,5
Westborough,2020,0,1,0,0,1,0,1,1
Westborough,2021,0,1,0,0,2,0,1,2
Westborough,2022,0,2,0,0,4,0,2,4
Westborough,2023,0,1,0,0,5,0,1,5
Westborough,2024,0,5,0,0,10,0,5,10
Westfield,2020,0,3,0,0,3,0,3,3
Westfield,2023,0,10,0,0,13,0,10,13
Westfield,2024,0,3,1,0,16,1,4,17
Westfield,2025,0,6,0,0,22,1,6,23
Westford,2012,0,1,0,0,1,0,1,1
Westford,2018,0,1,0,0,2,0,1,2
Westford,2021,0,8,0,0,10,0,8,10
Westford,2022,0,3,0,0,13,0,3,13
Weston,2019,0,1,0,0,1,0,1,1
Weston,2022,0,1,0,0,2,0,1,2
Weston,2023,0,1,0,0,3,0,1,3
Weston,2024,0,1,0,0,4,0,1,4
Westport,2020,0,1,0,0,1,0,1,1
Westport,2021,0,1,0,0,2,0,1,2
Westwood,2020,0,1,0,0,1,0,1,1
Westwood,2021,0,1,0,0,2,0,1,2
Westwood,2022,0,2,0,0,4,0,2,4
Westwood,2023,0,2,0,0,6,0,2,6
Weymouth,2020,0,1,0,0,1,0,1,1
Weymouth,2021,0,6,0,0,7,0,6,7
Weymouth,2023,0,1,0,0,8,0,1,8
Weymouth,2024,0,1,1,0,9,1,2,10
Whately,2021,0,1,0,0,1,0,1,1
Whately,2022,0,1,0,0,2,0,1,2
Whitman,2022,0,1,0,0,1,0,1,1
Williamsburg,2014,0,1,0,0,1,0,1,1
Williamsburg,2022,0,0,1,0,1,1,1,2
Williamsburg,2024,0,1,0,0,2,1,1,3
Williamstown,2014,0,1,0,0,1,0,1,1
Williamstown,2019,0,1,0,0,2,0,1,2
Williamstown,2020,0,10,0,0,12,0,10,12
Williamstown,2021,0,6,0,0,18,0,6,18
Wilmington,2015,0,1,0,0,1,0,1,1
Wilmington,2020,0,1,0,0,2,0,1,2
Wilmington,2021,0,14,0,0,16,0,14,16
Wilmington,2023,0,13,0,0,29,0,13,29
Wilmington,2024,0,7,0,0,36,0,7,36
Winchendon,2020,0,1,0,0,1,0,1,1
Wincherdon,2024,0,1,1,0,1,1,2,2
Winchester,2023,0,3,0,0,3,0,3,3
Winchester,2024,0,1,3,0,4,3,4,7
Woburn,2012,0,1,1,0,1,1,2,2
Woburn,2016,0,1,0,0,2,1,1,3
Woburn,2017,0,1,1,0,3,2,2,5
Woburn,2018,0,1,0,0,4,2,1,6
Woburn,2020,0,2,0,0,6,2,2,8
Woburn,2021,0,7,1,0,13,3,8,16
Woburn,2022,0,2,0,0,15,3,2,18
Woburn,2023,0,9,0,0,24,3,9,27
Woburn,2024,0,1,0,0,25,3,1,28
Woburn,2025,0,10,0,0,35,3,10,38
Woods Hole,2014,0,1,0,0,1,0,1,1
Woods Hole,2015,0,1,0,0,2,0,1,2
Woods Hole,2018,0,2,0,0,4,0,2,4
Woods Hole,2021,0,1,0,0,5,0,1,5
Worcester,2012,0,1,0,0,1,0,1,1
Worcester,2013,0,1,0,0,2,0,1,2
Worcester,2015,0,1,0,0,3,0,1,3
Worcester,2018,0,4,0,0,7,0,4,7
Worcester,2019,0,3,0,0,10,0,3,10
Worcester,2020,0,9,0,0,19,0,9,19
Worcester,2021,0,47,0,0,66,0,47,66
Worcester,2022,0,27,0,0,93,0,27,93
Worcester,2023,0,9,3,0,102,3,12,105
Worcester,2024,0,13,1,0,115,4,14,119
Worcester,2025,0,5,0,0,120,4,5,124
Wrentham,2022,0,0,1,0,0,1,1,1
Yarmouth,2023,0,3,0,0,3,0,3,3
Yarmouth,2024,0,4,0,0,7,0,4,7
