City,Year,Capacity (kW DC) Residential (3 or fewer dwelling units per building),Project Count Residential (3 or fewer dwelling units per building),Capacity (kW DC) Other,Project Count Other,Capacity (kW DC) School (K-12),Project Count School (K-12),Capacity (kW DC) Agricultural,Project Count Agricultural,Capacity (kW DC) College / University,Project Count College / University,Capacity (kW DC) Commercial / Office,Project Count Commercial / Office,Capacity (kW DC) Municipal - K-12 School,Project Count Municipal - K-12 School,Capacity (kW DC) Municipal / Government / Public,Project Count Municipal / Government / Public,Capacity (kW DC) Retail,Project Count Retail,Capacity (kW DC) Mixed use (commercial & residential),Project Count Mixed use (commercial & residential),Capacity (kW DC) Religious,Project Count Religious,Capacity (kW DC) Industrial,Project Count Industrial,Capacity (kW DC) Multi-family residential (4 or more dwelling units per building),Project Count Multi-family residential (4 or more dwelling units per building),Capacity (kW DC) Hospital / Health Care,Project Count Hospital / Health Care,Capacity (kW DC) Restaurant / Food Service,Project Count Restaurant / Food Service,Capacity (kW DC) Federal,Project Count Federal,Capacity (kW DC) Community Solar,Project Count Community Solar,Capacity (kW DC) State,Project Count State,Capacity (kW DC) State - College/University,Project Count State - College/University,Capacity (kW DC) All,Project Count All,Capacity (kW DC) Commercial,Project Count Commercial,Capacity (kW DC) Municipal,Project Count Municipal,Capacity (kW DC) State/Fed,Project Count State/Fed,Capacity (kW DC) All Cumulative,Project Count All Cumulative,Capacity (kW DC) Residential Cumulative,Project Count Residential Cumulative,Capacity (kW DC) Multifamily Cumulative,Project Count Multifamily Cumulative,Capacity (kW DC) Mixed use Cumulative,Project Count Mixed use Cumulative,Capacity (kW DC) Commercial Cumulative,Project Count Commercial Cumulative,Capacity (kW DC) Municipal Cumulative,Project Count Municipal Cumulative,Capacity (kW DC) State/Fed Cumulative,Project Count State/Fed Cumulative,Capacity (kW DC) Industrial Cumulative,Project Count Industrial Cumulative,Capacity (kW DC) Agricultural Cumulative,Project Count Agricultural Cumulative,Capacity (kW DC) Community Solar Cumulative,Project Count Community Solar Cumulative,Capacity (kW DC) Other Cumulative,Project Count Other Cumulative
Massachusetts,2000,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,2001,0.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,2.0,1.04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,2002,,,14.951,1.0,21.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.551,2.0,21.6,1.0,0.0,0.0,0.0,0.0,37.591,4.0,1.04,2.0,0.0,0.0,0.0,0.0,21.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.951,1.0
Massachusetts,2003,102.468,53.0,,,,,1.12,1.0,43.68,2.0,58.552,5.0,61.36,3.0,14.4,5.0,3.7279999999999998,2.0,,,,,,,,,,,,,,,,,,,,,285.308,71.0,105.96000000000001,9.0,75.76,8.0,0.0,0.0,322.899,75.0,103.50800000000001,55.0,0.0,0.0,0.0,0.0,127.56,10.0,75.76,8.0,0.0,0.0,0.0,0.0,1.12,1.0,0.0,0.0,14.951,1.0
Massachusetts,2004,253.007,100.0,,,2.88,1.0,,,24.150000000000002,4.0,120.96000000000001,5.0,53.275000000000006,6.0,32.59,3.0,91.785,7.0,7.014,1.0,7.4399999999999995,2.0,,,,,,,,,,,,,,,,,593.1010000000001,129.0,247.215,19.0,85.86500000000001,9.0,0.0,0.0,916.0000000000001,204.0,356.515,155.0,0.0,0.0,7.014,1.0,374.775,29.0,161.625,17.0,0.0,0.0,0.0,0.0,1.12,1.0,0.0,0.0,14.951,1.0
Massachusetts,2005,141.984,58.0,17.02,3.0,52.38,3.0,3.78,1.0,27.060000000000002,3.0,31.866,4.0,188.53,10.0,25.96,2.0,,,6.93,1.0,,,210.68,5.0,101.75999999999999,3.0,,,,,,,,,,,,,807.95,93.0,111.30600000000001,10.0,214.49,12.0,0.0,0.0,1723.9500000000003,297.0,498.499,213.0,101.75999999999999,3.0,13.943999999999999,2.0,486.081,39.0,376.115,29.0,0.0,0.0,210.68,5.0,4.9,2.0,0.0,0.0,31.971,4.0
Massachusetts,2006,543.921,193.0,98.445,11.0,9.24,1.0,37.769999999999996,6.0,84.705,5.0,203.348,12.0,147.75,25.0,466.83,4.0,,,10.16,2.0,,,176.44,2.0,,,71.16,2.0,,,,,,,,,,,1849.769,263.0,368.45300000000003,20.0,614.5799999999999,29.0,0.0,0.0,3573.719,560.0,1042.42,406.0,101.75999999999999,3.0,24.104,4.0,854.5340000000001,59.0,990.6949999999999,58.0,0.0,0.0,387.12,7.0,42.669999999999995,8.0,0.0,0.0,130.416,15.0
Massachusetts,2007,553.678,180.0,118.39999999999999,7.0,12.57,2.0,23.32,5.0,132.6,4.0,146.71,7.0,44.22,4.0,386.832,3.0,,,45.12,2.0,,,,,78.176,2.0,3.72,1.0,95.03999999999999,2.0,,,,,,,,,1640.386,219.0,390.64,16.0,431.052,7.0,0.0,0.0,5214.105,779.0,1596.098,586.0,179.93599999999998,5.0,69.22399999999999,6.0,1245.174,75.0,1421.7469999999998,65.0,0.0,0.0,387.12,7.0,65.99,13.0,0.0,0.0,248.81599999999997,22.0
Massachusetts,2008,1130.083,302.0,56.018,7.0,27.75,3.0,81.11,9.0,58.858999999999995,5.0,1108.1989999999998,25.0,51.2,3.0,14.66,3.0,45.82,6.0,50.4,1.0,17.439999999999998,3.0,662.244,7.0,310.84000000000003,8.0,3.8,1.0,19.58,2.0,,,,,,,,,3638.0029999999997,385.0,1281.4479999999996,45.0,65.86,6.0,0.0,0.0,8852.108,1164.0,2726.181,888.0,490.776,13.0,119.624,7.0,2526.6219999999994,120.0,1487.607,71.0,0.0,0.0,1049.364,14.0,147.1,22.0,0.0,0.0,304.834,29.0
Massachusetts,2009,2688.9405,659.0,299.715,9.0,178.1,4.0,172.365,13.0,852.3,6.0,1093.388,30.0,799.031,10.0,750.325,25.0,318.18899999999996,9.0,30.24,1.0,,,1054.195,13.0,1277.375,30.0,54.12,3.0,71.84,4.0,33.6,1.0,,,,,,,9673.7235,817.0,2567.9369999999994,56.0,1549.356,35.0,33.6,1.0,18525.8315,1981.0,5415.1215,1547.0,1768.151,43.0,149.864,8.0,5094.558999999999,176.0,3036.9629999999997,106.0,33.6,1.0,2103.559,27.0,319.46500000000003,35.0,0.0,0.0,604.549,38.0
Massachusetts,2010,2413.34,497.0,6469.447,45.0,793.572,14.0,523.53,18.0,348.18,4.0,5336.515,117.0,1640.24,25.0,1588.638,35.0,1869.555,17.0,,,,,1538.925,15.0,390.98,15.0,,,,,,,,,,,,,22912.922,802.0,8347.822,152.0,3228.8779999999997,60.0,0.0,0.0,41438.7535,2783.0,7828.4615,2044.0,2159.1310000000003,58.0,149.864,8.0,13442.381,328.0,6265.840999999999,166.0,33.6,1.0,3642.484,42.0,842.995,53.0,0.0,0.0,7073.996,83.0
Massachusetts,2011,5947.114,1057.0,6527.223,22.0,3044.145,8.0,394.34000000000003,14.0,2331.7400000000002,32.0,9778.243,147.0,3418.64,29.0,6773.2699999999995,37.0,1134.946,7.0,211.31,8.0,,,2614.585,10.0,314.005,11.0,110.64,4.0,59.4,3.0,3.15,1.0,,,,,,,42662.751000000004,1390.0,16459.114,201.0,10191.91,66.0,3.15,1.0,84101.50450000001,4173.0,13775.575499999999,3101.0,2473.136,69.0,361.174,16.0,29901.495000000003,529.0,16457.751,232.0,36.75,2.0,6257.0689999999995,52.0,1237.335,67.0,0.0,0.0,13601.219000000001,105.0
Massachusetts,2012,16056.383,2599.0,32003.945,32.0,240.012,3.0,4607.919,13.0,1494.22,6.0,45894.062,474.0,4631.275,20.0,9220.76,31.0,3215.54,13.0,148.39999999999998,2.0,555.008,10.0,14940.452000000001,52.0,1014.09,35.0,5.0,1.0,,,,,10.29,1.0,,,,,134037.356,3292.0,51403.842000000004,507.0,13852.035,51.0,0.0,0.0,218138.8605,7465.0,29831.9585,5700.0,3487.226,104.0,509.57399999999996,18.0,81305.337,1036.0,30309.786,283.0,36.75,2.0,21197.521,104.0,5845.254,80.0,10.29,1.0,45605.164000000004,137.0
Massachusetts,2013,28654.852,4655.0,54523.418,36.0,576.2,6.0,7063.025,7.0,3950.0950000000003,3.0,50877.162000000004,375.0,1569.6499999999999,8.0,55321.77,33.0,3662.921,10.0,471.015,4.0,4092.802,17.0,14543.095,27.0,365.8,13.0,,,,,,,37.64,4.0,,,,,225709.445,5198.0,63159.18000000001,411.0,56891.42,41.0,0.0,0.0,443848.3055,12663.0,58486.8105,10355.0,3853.0260000000003,117.0,980.5889999999999,22.0,144464.51700000002,1447.0,87201.206,324.0,36.75,2.0,35740.616,131.0,12908.278999999999,87.0,47.93,5.0,100128.582,173.0
Massachusetts,2014,60046.664,8965.0,74551.178,55.0,217.24,2.0,11629.518,13.0,3277.1,11.0,65688.055,221.0,1336.8700000000001,7.0,42731.393000000004,68.0,8118.099999999999,23.0,12015.701,6.0,4980.81,6.0,23648.524999999998,22.0,837.78,34.0,9.75,1.0,,,,,604.998,6.0,250.0,1.0,,,309943.68200000003,9441.0,82291.05500000001,264.0,44068.263000000006,75.0,250.0,1.0,753791.9875,22104.0,118533.4745,19320.0,4690.8060000000005,151.0,12996.289999999999,28.0,226755.57200000001,1711.0,131269.469,399.0,286.75,3.0,59389.140999999996,153.0,24537.797,100.0,652.928,11.0,174679.76,228.0
Massachusetts,2015,149624.07,20741.0,56508.667,52.0,2786.152,6.0,4992.223,11.0,950.01,8.0,24144.964,141.0,6453.135,27.0,25728.21,21.0,8631.505,43.0,141.0,4.0,278.181,8.0,22511.141,50.0,1639.212,42.0,,,100.185,2.0,,,4947.833,6.0,2542.27,20.0,3345.6,2.0,315324.358,21184.0,36890.996999999996,208.0,32181.345,48.0,5887.87,22.0,1069116.3455,43288.0,268157.5445,40061.0,6330.018,193.0,13137.289999999999,32.0,263646.569,1919.0,163450.814,447.0,6174.62,25.0,81900.28199999999,203.0,29530.019999999997,111.0,5600.7609999999995,17.0,231188.427,280.0
Massachusetts,2016,173879.775,23245.0,59659.004,59.0,725.513,6.0,3082.328,17.0,703.101,13.0,48906.012,249.0,4764.164,20.0,45408.635,29.0,8578.387,35.0,619.649,10.0,20632.353,18.0,39609.29,69.0,1970.935,35.0,24.96,1.0,395.2,3.0,,,48961.546,36.0,5.72,1.0,5856.7,9.0,463783.27199999994,23855.0,79965.526,325.0,50172.799,49.0,5862.42,10.0,1532899.6175,67143.0,442037.3195,63306.0,8300.953,228.0,13756.938999999998,42.0,343612.095,2244.0,213623.613,496.0,12037.04,35.0,121509.572,272.0,32612.347999999998,128.0,54562.307,53.0,290847.431,339.0
Massachusetts,2017,86350.179,11373.0,112785.997,80.0,2949.096,14.0,5177.897,17.0,13113.04,17.0,64183.399,269.0,10752.703,24.0,77415.675,50.0,9763.757,37.0,2104.846,12.0,549.4300000000001,11.0,39611.485,87.0,6267.951,41.0,5641.905,15.0,554.437,3.0,,,121889.30500000001,80.0,4187.16,3.0,7578.83,3.0,570877.0920000001,12136.0,96755.06400000001,366.0,88168.378,74.0,11765.99,6.0,2103776.7095,79279.0,528387.4985,74679.0,14568.904,269.0,15861.785,54.0,440367.159,2610.0,301791.99100000004,570.0,23803.03,41.0,161121.057,359.0,37790.244999999995,145.0,176451.61200000002,133.0,403633.428,419.0
Massachusetts,2018,89590.212,11016.0,41667.815,164.0,2864.96,16.0,9522.041000000001,11.0,3493.9599999999996,6.0,50443.445,224.0,3522.76,10.0,29723.87,23.0,3565.91,12.0,128.0,4.0,412.71500000000003,12.0,22458.22,31.0,552.3100000000001,6.0,381.9,2.0,74.805,3.0,594.6,32.0,49976.625,40.0,4288.54,4.0,,,313262.688,11616.0,61237.69499999999,275.0,33246.63,33.0,4883.14,36.0,2417039.3975,90895.0,617977.7105,85695.0,15121.214,275.0,15989.785,58.0,501604.854,2885.0,335038.621,603.0,28686.17,77.0,183579.277,390.0,47312.286,156.0,226428.23700000002,173.0,445301.243,583.0
Massachusetts,2019,83935.1905,9853.0,64869.849,1272.0,394.725,5.0,2446.22,18.0,1443.07,10.0,20187.84,58.0,1795.525,8.0,16389.995,21.0,2450.125,12.0,926.73,7.0,938.115,21.0,9617.755000000001,25.0,1144.394,30.0,391.27,5.0,65.455,3.0,,,95723.94,36.0,42.0,1.0,,,302762.1985,11385.0,25870.600000000002,114.0,18185.52,29.0,42.0,1.0,2719801.596,102280.0,701912.9010000001,95548.0,16265.608,305.0,16916.515,65.0,527475.454,2999.0,353224.141,632.0,28728.17,78.0,193197.032,415.0,49758.506,174.0,322152.177,209.0,510171.092,1855.0
Massachusetts,2020,96688.805,11389.0,46360.98999999999,72.0,449.78,4.0,114.39,4.0,125.97,1.0,13617.735,75.0,3620.07,13.0,3223.88,17.0,6811.175,23.0,3261.58,17.0,3437.465,22.0,32731.4,46.0,3711.975,60.0,1230.155,5.0,157.695,4.0,,,234019.345,88.0,849.6,3.0,685.0,4.0,451097.01,11847.0,25829.975,134.0,6843.950000000001,30.0,1534.6,7.0,3170898.606,114127.0,798601.706,106937.0,19977.583,365.0,20178.094999999998,82.0,553305.429,3133.0,360068.091,662.0,30262.77,85.0,225928.432,461.0,49872.896,178.0,556171.522,297.0,556532.0819999999,1927.0
Massachusetts,2021,110228.194,12624.0,26492.685,100.0,575.4399999999999,5.0,1873.49,10.0,2114.875,9.0,20343.945,80.0,5853.93,21.0,14838.46,13.0,2303.98,17.0,1705.23,14.0,359.72,13.0,17207.075,34.0,3392.585,136.0,13.2,1.0,367.56,3.0,,,322029.86688,79.0,,,1209.285,1.0,530909.5208800001,13160.0,26078.72,128.0,20692.39,34.0,1209.285,1.0,3701808.1268800003,127287.0,908829.9,119561.0,23370.168,501.0,21883.324999999997,96.0,579384.149,3261.0,380760.481,696.0,31472.055,86.0,243135.507,495.0,51746.386,188.0,878201.38888,376.0,583024.767,2027.0
Massachusetts,2022,91070.549,9570.0,12788.495,53.0,1692.005,10.0,1268.21,6.0,688.48,3.0,5466.765,34.0,5678.425,11.0,4959.4400000000005,12.0,2328.18,12.0,841.1600000000001,18.0,970.89,6.0,9523.68,30.0,2022.8400000000001,160.0,351.76,2.0,138.775,3.0,,,164861.58000000002,39.0,,,392.02,3.0,305043.254,9972.0,11636.855,70.0,10637.865000000002,23.0,392.02,3.0,4006851.38088,137259.0,999900.449,129131.0,25393.008,661.0,22724.485,114.0,591021.004,3331.0,391398.346,719.0,31864.075,89.0,252659.187,525.0,53014.596,194.0,1043062.9688800001,415.0,595813.262,2080.0
Massachusetts,2023,48790.318999999996,4770.0,6494.6,42.0,656.965,6.0,198.325,5.0,,,5772.205,33.0,4486.405,17.0,14923.199999999999,19.0,1020.05,7.0,614.1,13.0,72.36,3.0,12614.64499999999,24.0,766.595,22.0,,,107.61500000000001,3.0,,,30911.67,9.0,545.9449999999999,5.0,854.075,4.0,128829.074,4982.0,7629.195,52.0,19409.605,36.0,1400.02,9.0,4135680.45488,142241.0,1048690.768,133901.0,26159.603,683.0,23338.585,127.0,598650.199,3383.0,410807.951,755.0,33264.095,98.0,265273.832,549.0,53212.921,199.0,1073974.63888,424.0,602307.862,2122.0
Abington,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2011,27.508,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.508,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.508,4.0,27.508,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2012,9.510000000000002,2.0,,,,,,,,,,,,,,,355.19,1.0,,,,,,,,,,,,,,,,,,,,,364.7,3.0,355.19,1.0,0.0,0.0,0.0,0.0,392.20799999999997,7.0,37.018,6.0,0.0,0.0,0.0,0.0,355.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2013,24.41,4.0,,,,,,,,,18.72,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,43.129999999999995,5.0,18.72,1.0,0.0,0.0,0.0,0.0,435.33799999999997,12.0,61.428,10.0,0.0,0.0,0.0,0.0,373.90999999999997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2014,166.25,24.0,,,,,,,,,,,,,,,592.92,1.0,,,,,,,147.62,2.0,,,,,,,,,,,,,906.79,27.0,592.92,1.0,0.0,0.0,0.0,0.0,1342.128,39.0,227.678,34.0,147.62,2.0,0.0,0.0,966.8299999999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2015,541.85,74.0,,,,,,,,,,,,,,,,,,,,,57.46,1.0,,,,,,,,,,,,,,,599.3100000000001,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1941.438,114.0,769.528,108.0,147.62,2.0,0.0,0.0,966.8299999999999,3.0,0.0,0.0,0.0,0.0,57.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Abington,2016,535.865,70.0,996.74,1.0,,,,,,,20.79,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.395,72.0,20.79,1.0,0.0,0.0,0.0,0.0,3494.833,186.0,1305.393,178.0,147.62,2.0,0.0,0.0,987.6199999999999,4.0,0.0,0.0,0.0,0.0,57.46,1.0,0.0,0.0,0.0,0.0,996.74,1.0
Abington,2017,151.04999999999998,20.0,,,,,,,,,62.09,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,213.14,22.0,62.09,2.0,0.0,0.0,0.0,0.0,3707.973,208.0,1456.443,198.0,147.62,2.0,0.0,0.0,1049.71,6.0,0.0,0.0,0.0,0.0,57.46,1.0,0.0,0.0,0.0,0.0,996.74,1.0
Abington,2018,198.5,21.0,4.425,1.0,,,,,,,,,496.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,699.725,23.0,0.0,0.0,496.8,1.0,0.0,0.0,4407.698,231.0,1654.943,219.0,147.62,2.0,0.0,0.0,1049.71,6.0,496.8,1.0,0.0,0.0,57.46,1.0,0.0,0.0,0.0,0.0,1001.165,2.0
Abington,2019,165.135,16.0,37.86,4.0,,,,,,,,,,,,,,,,,,,,,15.05,1.0,,,,,,,,,,,,,218.04500000000002,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4625.743,252.0,1820.078,235.0,162.67000000000002,3.0,0.0,0.0,1049.71,6.0,496.8,1.0,0.0,0.0,57.46,1.0,0.0,0.0,0.0,0.0,1039.025,6.0
Abington,2020,291.84,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.84,35.0,0.0,0.0,0.0,0.0,0.0,0.0,4917.5830000000005,287.0,2111.918,270.0,162.67000000000002,3.0,0.0,0.0,1049.71,6.0,496.8,1.0,0.0,0.0,57.46,1.0,0.0,0.0,0.0,0.0,1039.025,6.0
Abington,2021,352.202,36.0,,,,,,,,,,,,,,,,,32.3,1.0,,,,,,,,,,,,,,,,,,,384.502,37.0,0.0,0.0,0.0,0.0,0.0,0.0,5302.085,324.0,2464.12,306.0,162.67000000000002,3.0,32.3,1.0,1049.71,6.0,496.8,1.0,0.0,0.0,57.46,1.0,0.0,0.0,0.0,0.0,1039.025,6.0
Abington,2022,98.608,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.608,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.693,333.0,2562.728,315.0,162.67000000000002,3.0,32.3,1.0,1049.71,6.0,496.8,1.0,0.0,0.0,57.46,1.0,0.0,0.0,0.0,0.0,1039.025,6.0
Abington,2023,24.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5424.993,335.0,2587.028,317.0,162.67000000000002,3.0,32.3,1.0,1049.71,6.0,496.8,1.0,0.0,0.0,57.46,1.0,0.0,0.0,0.0,0.0,1039.025,6.0
Acton,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2007,8.34,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34,2.0,8.34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2008,17.255,5.0,,,,,,,,,,,,,,,,,,,,,,,9.88,1.0,,,,,,,,,,,,,27.134999999999998,6.0,0.0,0.0,0.0,0.0,0.0,0.0,35.474999999999994,8.0,25.595,7.0,9.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2009,17.475,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.475,5.0,0.0,0.0,0.0,0.0,0.0,0.0,52.95,13.0,43.07,12.0,9.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton,2010,8.45,2.0,,,,,,,,,,,288.13,3.0,78.5,1.0,,,,,,,,,,,,,,,,,,,,,,,375.08,6.0,0.0,0.0,366.63,4.0,0.0,0.0,428.03,19.0,51.519999999999996,14.0,9.88,1.0,0.0,0.0,0.0,0.0,366.63,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
